nom_pmu,pere,mere,bms
SAMBA DA ROSA,LUTIN MALIN,VERVEINE DU ROSEAU,KIDY
BRAVO PAPA,MARMOUZ PENALAN,ECLANE,PETIT AMOY F
INITIALS BEBE,SCIPION DU GOUTIER,URSITANE,DAHIR DE PRELONG
OCEANO NOX,CAPRICCIO,GRIMAUD,GRANIT (H.N.)
KUEEN DES CHARMES,DOBERMAN,UMBERTA,JAIN DE BEVAL
TAUTOLOGIA,GRANDPRE,GERTANGIE,NIKY DES ETANGS
JABIRU BOY,SEVERINO,ALONG GIRL,GAZOUILLIS
L'ASTRE DIVIN,DJANGO RIFF,GRAINE DE STAR,GOETMALS WOOD
CALIPSO,,,
EVALUATIVO,UBRIACO,SIMARUBA,SEBRAZAC
MIRA NAK,CABALLERO IV,CATHARINA III,MARYLAND B
TIME BACK,,,
PAMINO,PERSHING,,
ENFATICA,PERPIGNAN,RED HARRIS,FUCHSIA VII
OPERATA,BOOSTER WINNER,IRIANE,SCIPION DU GOUTIER
BLUE COAST,NI HO PED D'OMBREE,KOMETE D'URZY,WORKAHOLIC (US)
GLOBAL GRACE,,,
UDINESE,CEDRE DU VIVIER,VIA ROMA,VALMONT
QUEEN CAUSE,GAMIN DE VAUVERT,BOUSSOLE,OURAGON
KIRSHARA,CASH AND GO,SYMPHONIE,GANYMEDE
ADALINA,LUTIN BARNEUVE,ITALIA ROYALE,L'INFANT ROYAL
DUBAI WARD,PRINCE DE CHARME,KATHALIE DU RANCH,URANUS D'ODYSSEE
ORIGINAL FACE,,,
LA PLEBE,WORKAHOLIC (US),BRUYERE,KEPI VERT
SILVER RUNNER,HARDI TENOR,JOY DANOVER,TONNERRE D'AMOUR
SUPER QUITA,GANYMEDE,GURVALINE DE CONDE,SELAGO
LA BIRRIA,SANG D'OR,GIGI DE BAILLY,SUSPENSE II
MALYNCHE,BOIS DE CLAQUET,VA CHATELAINE,NEW WINNER
LADY CRAF,VILLAGE MYSTIC,MIMONE,UN D'ESTRICAT
KASTIA,KAPULCO,EXQUISE PRINCESS,QUECASTLY
AKIRTA,KIRTY,NIVE B,CAMPRA
LADY DORLE,ELIO JOSSELYN,CYNDIE DE PADD,RUANITO D'ARC
GARAHON,NUMA DE BELLEVUE,PEPITE D'ECULIEU,ERSIN
HEFFAY,QLOREST DU VIVIER,SLIVEN,BRUTUS LUCIUS
JONZAC,URIEL SPEED,VICTORY CALL,COKTAIL JET
KOUKEO,DERJACQUES,DONADEL,ISARD DU PADOUENG
YESHIL,MUSCLE HILL (US),,
FERNI,PREMIER MABON,KIDNAPPEE,CAPORAL
L' ALFA,OFFSHORE DREAM,OFARA,VOLCAN
SAINT SAM,EURYBIADE,IDYLLE DE FARCHAT,BEAUSEJOUR II
RUNCOK,HIGH ECHELON,JOLIE DUNOISE,TOSCAN
MADERO,RODRIGO JET,ATHENA DU CLOSET,OZIO ROYAL
ELAMAZ,RAPIDE DU BOIS,OMAYA,HETRE VERT
THUNDER JAM,HISTORIEN,HOUBA HOUBA JIEL,KIMBERLAND
AGAPI MIA,VALMONT,JURISPRUDENCE,LUTH GRANDCHAMP
PIK DAME,ESOTICO STAR,BUFFALO DU PONT,LE LOIR
WATERLAND,FRANC QUITO,JATIVA,URI F
SHENMI,JOYEUX CHAMBON,OBADINE,VICTORY
ALL FOR ONE,LUTTEUR D'OIZON,RICHEPANSE,CARLO D'ORSAY
ARMIRA,JOACHIM,PRISCA DU SALUT,ESPOIR DE SEE
SI BON,JIBON TIVOLI,LOLA TIVOLI,QUADROPHENIO
KALIMDOR,SCIPION DU GOUTIER,VARDNESS,TENOR DE BAUNE
ANNA RIVA,JANDA DU CADRAN,RIVA LA TOUCHE,CONQUERANT
BRUYERE AA,OURAGAN DU COMTAL,QUAUMITE,USTAR
BALQES,JIOSCO,MYRTILLE DU PONT,RUY BLAS IV
I AM SMART,UNICLOVE,UNA BELLA DU FIER,LOVE YOU
VENUS DES ROCS,LOVE YOU,GELEE DES RACQUES,QUECASTLY
ATLANTA CITY,GANYMEDE,MAMAORA,EXTREME DREAM
SWEET SMILE,LOVE YOU,KIMBERLEY,CYGNUS D'ODYSSEE
SHEJK,IDEAL DE L'ITON,GAZELLE DES SERRES,ORESTAN
LEGENDE CITRUS,SCIPION DU GOUTIER,ADRIENNE DU CITRUS,MEMPHIS DU RIB
LONDON BRIDGE,DROLE DE JET,TRACKMANIA,GOETMALS WOOD
LIZETTE LEMAN,CAHAL DES RIOULTS,DIVA LEMAN,KENOR DE COSSE
LISBONNE DELADOU,EROS DU CHENE,ULTIMA QUEEN,JARDY
LADY DU PERCHE,CLIF DU POMMEREUX,BRASILIA DU PERCHE,ROI DU COQ
INCA VENESI,OURAGAN DE CELLAND,ROLLS DU BOUFFEY,DAHIR DE PRELONG
LA PERLE D'OSCAR,BRILLANTISSIME,EXCELLENCE D'OSCAR,PASSWORD
HAMILTON DU NOYER,CHARLY DU NOYER,STRAWINSKA MAUZUN,GOETMALS WOOD
L'AS DES CARREAUX,URIEL SPEED,CARO DES CARREAUX,SINGALO
VASTERBO EURO,GOOD AS GOLD,,
FLOCK DU BOCAGE,UN MEC D'HERIPRE,PRETTY DE DRAMARD,DECOURMENIL
GIPSY DE LA NOE,LUDO DE CASTELLE,TOPAZE DE LA NOE,GOETMALS WOOD
KEL BLEU,BOLERO LOVE,SCARLET GIRL,GOGO
KERIDA DU BUISSON,MAGNIFICENT RODNEY,RIME DU BUISSON,TENOR DE BAUNE
KATCHINA D'ELIOTT,BRUTUS DE BAILLY,SURPRISE DU GADE,NOT DISTURB
KEMMA,SAXO DE VANDEL,AMNESTY,JOKER DE ROZOY
KABLOONAK,DOLLAR MACKER,OLORA BELLA,BLUE EYES AMERICA
KITO MIQUELLERIE,VERY LOOK,SLORINA DU PONT,LULO JOSSELYN
TORRIJOS,BON PAYSANT,UNE NORVEGIENNE,HELLENVILLIERS
KOENIG TEK,SCIPION DU GOUTIER,OKOYAMA,WORKAHOLIC (US)
KOMEKAT,TEXAS CHARM,NAIS LADY,CHRISTOPHER
KOCKLYN DU BARBEY,ROCKLYN,CASSIOPEE KIRVA,CYGNUS D'ODYSSEE
KAID DE GARAMBEAU,BOEING DU BOCAGE,CETTE HAUFOR,BACCARAT DU PONT
KEPLER HAUFOR,TIEGO D'ETANG,DOLORES HAUFOR,SEVERINO
KIWI DES PRES,CHE JENILOU,SOURCE DU PRIEUR,LUDO DE CASTELLE
KAZAN DE MARTIGNY,REVE DE BEYLEV,SIBELLE DE BATILLY,JAM PRIDEM
KARLO DE BAULON,NI HO PED D'OMBREE,ASTUCE DE BAULON,NARVICK DU BUISSON
KAZAA UP STAR,BOOSTER WINNER,UGENIE DU MAZA,GROS GRAIN
LANCELOT GRIFF,FOLLOW YOU,ROXANE GRIFF,TENOR DE BAUNE
LIBERO DU DONJON,DOBERMAN,CARA DU DONJON,SANCHO PANCA
LILIBET,READY CASH,FILOMENA,LOVE YOU
LUCIE DANCER,FIFTY KALOUMA,BONNIE DANCER,PRODIGIOUS
HOP D'URZY,GANYMEDE,QUERIDA D'URZY,GOETMALS WOOD
LILI DJO,SEVERINO,ALL STAR DE FOOT,LILIUM MADRIK
KOURGA DE LOU,FACE TIME BOURBON,AOSTA DE LOU,GOETMALS WOOD
ZOUZAL,IDEAL DE L'ITON,OUZALE DES PREUIL,VROUM D'OR
KIM DU PETIT BOIS,REPEAT LOVE,COMTESSE D'EOLE,ROC MESLOIS
LA SAMANA,VUCKY WILLIAMS,ELECTRE,PRINCE D'AVRIL
GALICE TUILERIE,RICIMER,SPHERE D'AVRIL,VIVALDI DE CHENU
HONEY STAR,QUATT CENT TROIS,SILVER STAR H,TIGRE ROYAL
PINAFORE,EVER JET,RODASI GRANDCHAMP,ILAIN
HUGO TROJBORG,HILLUSTRIOUS,,
LA DRONNE,NOBLE ATOUT,VEORE,NAVO
SANTAMOTIVA,,,
MISS TREZY,VOLCAN DE BRIE,ALTESSE DE TREVE,ECUSSON
LIKATA,SEBRAZAC,NALIKA,EFFIAT
LA POTERIE,ATOME DE MAI,EGERIE DE FEUGERES,OGINO
LOUISE CROWN,FABULOUS WOOD,TINA WOOD,GOETMALS WOOD
ENJOY,MARPHEULIN,TELLE BRISE,MOKTAR
ROSEWELL,HULK DES CHAMPS,KIMIE HIGHLAND,DJIM DU HAUTVENT
KARDA,ORFEU NEGRO,DURANCE,REPLAT
SOIE DE COEUR,QUARTZ,DETA DE FEUILLEAU,SEILHAC
MORNING FLIGHT,BON CONSEIL,FIDJI FANN,IDEAL DU GAZEAU
IDOLE DU CHENET,SINGALO,STAR DU CHENE,COKTAIL JET
LOU CLAOU,URDOS P,CLEOPATRE IV,BOUM III
KOPPA,SPA,,
NIKITA HAS,JET DU VIVIER,VOLKITA,HIKITAN
TAXI MAUVE,DORENZO,HOPEFUL VENTURE,BEAUTIFUL SOMOLLI
KRANEUR,NORGINIO,TENDANCE DE CEMA,GELINO DES ETANGS
NO LOOKING BACK,COKTAIL JET,FLEUR BLEUE,AND ARIFANT
BIG DEE,BLUE DREAM,JOLIE ALLURE,COROT
SAMYR,HERMES DU BUISSON,BOUT DE CHOU,FIRSTLY
IN COLOR,UNICOLOR II,ALTIMA,LEDOLLAR
CHANISA,HARMOL,FULVETTE,TIKI VI
JUDY ELAINE,BRIDGE,NORA DU PECH,BELLOUET
BARBERINI,KATIUS DU JURA,MATACHA,DIDALIUM
TALL BOY,HIGH ECHELON,UNIVERSITA,FAKIR DU VIVIER
STRUMMIN,JACQUES DES BLAVES,MAUVE WILLIAMS,FIER GRANDCHAMP
MENSA,UKILOU,TERSINA,ERSIN
STITCHED,JEANBAT DU VIVIER,JAVA DU RIEUTORT,AND ARIFANT
SEVEN FLAT,,,
HARLEEZY,URIEL SPEED,ISAORAINE,BIESOLO
LONG CROW,OFFSHORE DREAM,RIALTA DE MONTFORT,JASMIN DE FLORE
VERINA,LEVORINO,PAR CLARTE,URA
AMERICAN HERO,,,
JULES DU COPY,SEDUISANT FOUTEAU,ALESSIA DU COPY,KAISY DREAM
RAPIDE,HAJACQUES DE CHENU,HYCIAS,NICIAS GRANDCHAMP
ALMANABAA,BOLERO DU COQ,OSAKA DE GERBEROY,PACHA DU PONTHIEU
LADY DREAM,PACHA DU PONT,BELLA DREAM,MONTECATINI
SUPER DINO,,,
EUSEBIO D'HERIPRE,LOVE YOU,QUALAS D'HERIPRE,BUVETIER D'AUNOU
KAHENA,BEST OF JETS,VALLEE DU POPEY,PRODIGIOUS
WASIB,,,
ELIXIR PEARL,TISON MADRIK,PERLE DE MIRA,FORTUNA FANT
TARMELO,ISTRAEKI,ARMELINE,ABNER
BURKAN,NEDJD,JURKA,BRUTUS LUCIUS
STAR ONE,GRATIUS,TERMONDE,FANDANGO
STICKER,IDEAL DE L'ITON,BILKAZA,MON TOURBILLON
RAISON GARDEE,DOSSARI,JAPOUE,BAMARO KING
ETERNAL WOOD,QUICK WOOD,TESS MERETT,KRAC SPECIAL
PRINCESSE BORA,EXTREME DREAM,BARAKA,HETRE VERT
DORGOS DE GUEZ,ROMCOK DE GUEZ,LADY FROMENTRO,QUITO DE TALONAY
CARBONE,PLAYER,ELLE FLAMBE,SAUTERNES
VLAHOS,LANDOAS,OLAKOWA,FLAMBEAU DU CORTA
BO CRUZ,JARDY,PAMELA D'HERMES,HAND DU VIVIER
NEAT,HAND DU VIVIER,VALSE BLEUE,HADOL DU VIVIER
TRACK MATE,,,
JUST STEEL,UN AMOUR D'HAUFOR,KIPPA DU MORIN,OFF GY
ENCINO,NERIC BARBES,MA GORDA,URSIN L
HONOR MARIE,KIWI,MAROZIA DE VRIE,QUITON DU CORAL
EPIC RIDE,LOVE YOU,QUEENSTOWN,CEZIO JOSSELYN
VIN DIESEL,MANDARINO BLUE,MELODIE CASTELETS,BIESOLO
TIPESCO,,,
RECORDADO,USTANG DE MAI,LETTRE CAPITALE,TENOR DE BAUNE
BLACK LAKE,QUIDO DU GOUTIER,REINE TITA,KID BLUE
KIDEA D'ANGELY,TORNADO BELLO,VERSION PRIVEE,GROS GRAIN
LUNABUENA,LUTIN D'ISIGNY,VENUS DE SEE,MALOUIN
LIKE YOU DUSSAC,GOETMALS WOOD,VENUS THE SKY,QUATRE JUILLET
KATINKA GLORIA,COUP DE POKER,SAMBA GLORIA,SANCHO PANCA
LA STAR DRY,GOETMALS WOOD,DIVA DRY,JAG DE BELLOUET
MAILIE,FRISBEE D'AM,DIVINE DU MOULIN,PANACHE DE L'ITON
BLUE BAY,FAKIR DU VIVIER,PALMERA,DUC DE VRIE
MYTHENA,LE LOIR,ATHENA DE LA NOE,LUTIN D'ISIGNY
CHOUAN,QUADROPHENIO,QUELLYSE CHOUAN,BILL D
POWER GIRL,URIEL SPEED,VIVA WELL,NIJINSKI BLUE
LOVER STRYCK,KESACO PHEDO,STORIA WEST,GINGER SOMOLLI
NOVUS,IDEAL,,
STARLINK,DIAMANT GEDE,BLESSING STAR,MARCO BONHEUR
ASTRAL BEAU,PRINCE DE MONTFORT,LISA DE BEAUMEE,CAPITOLE
ELMALKA,RIRSTLY,URNIA KINNEY,HONUS
ROLICA,VESUVE T,KOLIA,MITSOUKO
STAR MUSIC,BLUE DREAM,FICHTRE,QUITON DU CORAL
STAR STYLE,,,
CATULLO JET,MAHARAJAH (US),,
KURRI JARI BOKO,,,
DANAO DEGLI DEI,MAGO D'AMORE,,
ONE ABOVE ALL,IDAO DE TILLARD,HEROINE DU GITE,TABRIZ DU GITE
ROCKET LAD,IN LOVE WITH YOU,HOLA MADONE,BUVETIER D'AUNOU
GLOBAL WITHDRAWL,,,
IMPOSSIBLE DREAM,,,
ULTIMATE DEEL,OKAPI DE FAEL,STAR DU PONT,ISTRAEKI
GREY SUN,PRINCE D'ESPACE,TOPAZE D'ANJOU,CARPE DIEM
ADELANTE,READY CASH,INIZIALE,VARENNE
BLUE LUPIN,NIKY,OPALE SIMARDIERE,AND ARIFANT
ARROW SONG,NOMINO,EASY WILLIAMS,QUATRAIN D'AMOUR
SPOT ON,KERIDO DU DONJON,ESTAMPE NONANTAISE,FAKIR DU VIVIER
KOOL DES LINANS,DIJON,ULINE DES LINANS,KOOL DU CAUX
LOUMINA,OISEAU DE FEUX,RANADA,FLEURON PERRINE
IN DIANA,TARASS BOULBA,NINON ROSE,FONDON
L'EXCELLENT DE REP,EXCELLENT,ATHENA TURGOT,NIJINSKI BLUE
WADOR,,,
RAFFLES STAR,CYGNUS D'ODYSSEE,LIGHT DES ACRES,AND ARIFANT
VANILLE DELICE,BASSANO,LARESTANE DE CEREY,ARESTAN DU RUET
LACRYMA CHRISTI,FORTUNA FANT,UNE REINE GITANE,CHAMBON P
KIRTA,BORGIA III,BOZA,OLTEN L
DUFY,CARLO D'ORSAY,SOURCE DU MESNIL,ARDENT II
RIMJA,CORLAY,JESSAMINA,URVICK
GENERAL MOON,QUERLHANK,ROSE MABON,ECHEC AU ROI
MADEMOISELLE BERE,,,
PINTA,JAIN DE BEVAL,DAME GUERBILLERE,HETRE VERT
LYCADA,UN D'ESTRICAT,ELITE D'ARGENT,QLOREST DU VIVIER
SUNNY SPELL,ISPAHAN,MARY SPEED,BILL D
MODERN ERA,FREE MAN,TUBORGANA,KIWI
AMENGUAL,NEFLIER,NINA OUL DADA,VIMONT
GENTZEN,SABIO,BARBE BLEUE DU JAY,GOLDEN LORD
CHE LUCERO,NIJINSKI BLUE,MA CHERRY BLUE,DEFI D'AUNOU
ANONIMO,NORMAN JET,LEGERE DE CHAHAINS,ECLAIR DE VANDEL
DOORSTEP,GRANIT,,
SERENO BOY,FROM ABOVE,,
ORAZIO,GOETMALS WOOD,,
DETONATE,TONNERRE D'AMOUR,QUERANGERE,AIGLE NOIR
TOP SPIN,IN FOOT,MAQUATINE,WORKAHOLIC (US)
CENDRE,PLATOON,STAR FACE,DZONG
FRANCISCAINE,FLORESTAN,SITTELLE,KAISER TROT
DOMBYRA,MALOUIN,SOMBREVALOISE,DUC DE BELLOUET
IGNAZIO D'ARC,REAL DE LOU,VILLA FRANCA VICI,QUALMIO DE VANDEL
SO MOON,KAZIRE DE GUEZ,KRIOLAISE,ACHILLE
ANACONDA,,,
CALEDONIENNE,ONE DU RIB,OH SO PRETTY,EXTREME AUNOU
SIERRA S,GADDI,HANIWA,QUIRINUS III
LARSSON,JET DU VIVIER,TANIA DE GRAVELLE,IRIS DE BIZIAT
LOVELY LADY,BASIC,CUVEE DE FIAC,HETRE VERT
FOU DE TOI,PASSIONNANT,TELEA GRANDCHAMP,JORKY
OL DONO LENGAI,,DODOMA,SEM KERVADEN
KIPCHOGE,ORLANDO VICI,BELLA BOURBON,READY CASH
MAY SCOTT,DJANGO RIFF,ENCHILADA FACE,SCIPION DU GOUTIER
ELEKTRA MIL,PASSWORD,VISTA BEJI,NOT DISTURB
FIONATOR,SCIPION DU GOUTIER,TARA LA CHESNAIE,MODERN JAZZ
CINCINNATI BEACH S,,,
WALHALLA,MAITRE ATOUT,JARASKA,OSEMBE
NYCORA,GLANEUR DE CHENU,DEBORAH II,KARNAC B
CRAZY CAT,WORKAHOLIC (US),JAVA DE LA MOTTE,BEAUSEJOUR II
BLACK MISSION,,,
SUPER TEN,KENOR DE COSSE,MISS DES FEUILLES,QUITON DU CORAL
VIVIENNE TIF,HISTORIEN F,FLEUR D'HEUGLEVILLE,TALOIR
JESSIE LEG,LUTIN D'ISIGNY,PIERREZ,EJAKVAL
IMPERIUM LOVE,REPEAT LOVE,URZANA MIP,LOULOU JET
LIBERTY SPEED,CARAT WILLIAMS,APPLE SPEED,MAGNIFICENT RODNEY
LOUSTIC MADRIK,BOLERO LOVE,AGATHE,JASMIN DE FLORE
HANNA DECHAMBOU,TUCSON,NINOU DECHAMBOU,PODOSIS
LOUNA DES COTEAUX,PRINCE D'ESPACE,ALTESSE DE SARTHE,OXFORD DU RIB
LA BELLE NANA,UNICLOVE,COSETTE,DEFI D'AUNOU
LOLA JENILOU,KEPI VERT,CLERISSIERES,HIGH ECHELON
LAIKA DE HOUELLE,FELICIANO,DECLICE DE HOUELLE,ROYAL DREAM
LORENS DE BRICE,THORENS VEDAQUAIS,PICCATA DE BOUGY,COROT
FLOCON MONTJEANAIS,KOREAN,POLKA DE CENOMAN,KEPI VERT
LANCELOT DU LOISIR,BOLERO LOVE,OMARINA DU LOISIR,PODOSIS
HELIOT DES BAULTS,RODRIGO JET,TANIA DU BOUFFEY,DERBY DU GITE
KAMELIA DU LIERRE,UN AMOUR D'HAUFOR,BALOUNA,BLUE DREAM
LAURA DE VIVOIN,NI HO PED D'OMBREE,AURA DE VIVOIN,LE RETOUR
LOVE AMERICA,FADO DU CHENE,PERLE FINE,BLUE EYES AMERICA
HURRICANE CEIJY,ORLANDO VICI,CADIX CEIJY,COKTAIL JET
LUTETIA JENILOU,PRODIGIOUS,ENIGME JENILOU,ROYAL DREAM
GASTON DES MONTS,TAG WOOD,REINE DE GUEHAM,LOOK DE STAR
HABORALI DE CHENU,TABRIZ DU GITE,QUORALIE DE CHENU,INDEPENDANCE DAY
NANDO,CARAT WILLIAMS,DULCIA,JAG DE BELLOUET
ROCKY CHITU,ABANO AS,,
TRIBUTE,KOREAN,HIGH BLUE MOON,BLUE DREAM
KOZEM,CEDRE DU VIVIER,SABRATAH,MOKTAR
FREE SMOKE,,,
ANDIE ONE,MIRAGE DU GOUTIER,LUCIE OUESTRE,EXTREME AUNOU
TEMPESTIVO,LOVE YOU,DEAUVILLE MB,LEMON DRA
LANETTA,QUIRKY JET,TALOMA DU BOCAGE,ISLERO DE BELLOUET
JARDANI,PORTLAND,ORPHEE V,FAISAN
VISBY,OPERIGO,PAVANE NONANTAISE,PATARA
NAVANI,DIAMANT GEDE,SAVANE DES VALLEES,JEFF
I CAN DO IT,TABRIZ DU GITE,TANIA PIERJI,OARDO
SERBER,HIGH ECHELON,PERLE,PALEO
PANAMA,,,
LE ROCCO,BANG TOUVENT,EN SURPRISE,LUCKY WILLIAMS
LEGENDE LOUED,URIEL SPEED,DEESSE LUDOISE,SAXO DE VANDEL
KNIL,REVE D'UDON,SORANOA,TONY M
CHAPWANI,HULK DES CHAMPS,RIVIERA DU PONT,BACCARAT DU PONT
LIKE A STAM,LOOK DE STAR,BORN TO BE STAR,GOETMALS WOOD
JOY BLUE,VILLAGE MYSTIC,VILLA BLUE,L'AS DE VIRETAUTE
SISKARO,EPERIGO,KAMILLE ROSE,AXE DES SARTS
JUVENTINA DE LOU,LOVE YOU,VENEZIA DE LOU,BIESOLO
GO QUICK,UP AND QUICK,TROTTING RACE,GOETMALS WOOD
HOSHIANA,MAHARAJAH (US),,
KALYMNOS,CRIN NOIR II,CHESTNUT,MONTAIGU
BOMBASTIC,PRODIGIOUS,,
YOURWORSTNIGHTMARE,,,
MIGHTY LIPS,VIGOVE,HASE DE JANEIRO,URIEL SPEED
LA MONTANARA,QUIVALA II,CALINE DE RETZ,HOARO
DOOLILY,LUDO DE CASTELLE,HILLARY,BUVETIER D'AUNOU
BARON MAYSON,PRINCE DES VEYS,HAULIES R,SIKY DU PADOUIN
RIVERS LAD,VILLEQUIER B,ELLAND,NUAGE G
DIAMOND GOLD,DIAMOND WAY (DE),,
SANTAO,KAISY DREAM,ICONE,JIOSCO
MAGIC LORD,MAJOR DE BRION,SINOVIVE,INO LUDOIS
LYOUBOV SEVEN,BOLERO LOVE,ALSACE DOEDVIC,TENOR DE BAUNE
INNUENDO,UHLAN DES BRACHES,SIBELLE REINE,KANDY
KARINA EL SOL,EYE OF THE STORM,RANILLE MONTAVAL,GAI BRILLANT
GALLERY ROAD,USTANG DE MAI,NOUCHKA,CALINO
SIN PAR,JADE BOCAIN,HYEROISE,PASSIONNANT
KNIGHT MOVES,READY CASH,RADYSIN AMERICA,DONATO HANOVER
MINERVA SCAT,CANARI MATCH,THESSALONIKI FACE,COKTAIL JET
CAMPEONA,QUEYJA,OCEANE,DIRECTOIRE
CANDYLAND,IMOKO,RAIRA MAG,EXTREME AUNOU
ABELIA NET,DJANGO,INES DE MOLIERES,UNIQUE JAMES
MWARID,COPPET,FARIDA,QUERIDO II
CATELYN,HADOL DU VIVIER,PARME,BUFFET II
GLORY BOM,SINGALO,OPALE DU MONT,DIAMANT GEDE
FOLGARIA,LORD LUCK,NANCY DE SAUTREUIL,AMADOR Z
ORNE,ELPENOR,CLIO L,OLTEN L
KATHMANDU,SIKO LE GRAND,BASQUAISE,IANTHIN
LASLOS,DORANIC D'OVILLARS,BELLA CLARA,INCITATUS DE GRANDCHAMP
BEN WADE,ONYX DU GOUTIER,PAMINA BAZ,COKTAIL JET
NIMBUS STAR,UNICLOVE,VICKY CASH,PRODIGIOUS
IRON RULER,SAM BOURBON,JUSTESSE,BIG PRESTIGE
GALAXY BAR,PICSOU DE VILLABON,BRASILIA JEPFY,PAOLO BERRY
BIG UNION,NINIO,IDEE DE COSSE,OBERON
SANTINO,IRAK ARABI,GRANDE OURSE,TORNADO T
LILICA,CHEIK,GLORY VAL,A VAU L'EAU
IZAIIR,GATOR BOWL,GAVIOLA,SAILER
ASALIAH,KEPI VERT,NOVISSIMA,QUIOCO
JINGKO DES BOCHARD,DROLE DE JET,VENUS,NIKY
TRESOR DE CHIRON,HURON DU LOIR,JEEP DES LOGES,VITAL DE SASSY
FIRST SOME,VIGOVE,NATTY SOYER,BACCARAT DU PONT
NIPPY DAY,ELVIS DU VALLON,DAISY D'AUVRECY,RODRIGO JET
ABLOH,NARCUS,QUESSY DES CHARMES,TATIUS
VINYL,BACCARAT DU PONT,HOOPY ELLE,IDEAL DU GAZEAU
CELESTIAL FOX,,,
PARORI,BOTTICELLI,BERENICE II,LARRE F
LIBERTE D'EOLE,CANADIEN D'AM,DOMIE DES RACQUES,GANYMEDE
HIMOKO D'ANTAN,IMOKO,QUESSY DU MONCEL,HAND DU VIVIER
LUCKY SUE,SUN CERAVIN,BAROUDEUSE,OHNOUS MADRIK
LUCAS DE BELLANDE,CLIF DU POMMEREUX,VOLGA DE VANDEL,GOETMALS WOOD
LOLA DU DANCING,CHICAGO BLUES,GIRL CADENCE,BIRD PARKER
MOONLIGHT RIVER,BOCCADOR DE SIMM,PERLE FINE,BLUE EYES AMERICA
LIMOUX DU PERCHE,COUP DE POKER,VANILLE DU PERCHE,VIVALDI DE CHENU
GILOU MAZA,LOVE YOU,VISTA BEJI,NOT DISTURB
HIPHIP HOURA,GOETMALS WOOD,COULEUR CITRON,COKTAIL JET
KALIANGA DE NILE,LET'S GO ALONG,AZZIA DU BOCAGE,MAGNIFICENT RODNEY
MAGIC KEY,VIEUX SAM,GALATA DE TALONAY,MON OUITON
SUHAAS,CHABICHOU,UHLANE,FANDANGO
INWI,,,
MINNATA,ULTRA DUCAL,,
GOLD NUGGET,LOVE YOU,TINOU MADRIK,GANYMEDE
IN MY LIFE,SAXO DE VANDEL,ALMA,NIKY
EEPHA,OLENDON,RIDOLE,GARY MAB
AS DE COEUR,SINGALO,CASERNETTE,LOVE YOU
BIRDSONG,KIWI,JANIE DE BILLERON,RYKER
KE FUE,QUE NUEVO,FIONA,OURAGAN CELESTE
HAUTE SPHERE,OPUS VIERVIL,NEVISA DE MAY,HERMES DU BUISSON
GOWTHER,THE BEST MADRIK,VOSKITA,GROS GRAIN
HARMATTAN DU RIB,COKTAIL JET,TORNADE DU RIB,GANYMEDE
LEE HOOKER,CRISTAL MONEY,THESE DE VAUVERT,GINGER SOMOLLI
STELLA MIA,HALIMEDE,LICORNE WILLIAMS,BRUNSWICK
BOCKEL,ROCKLYN,NICOTINE VEUCRIE,FLEURON PERRINE
LAVENDER LACE,KLEYTON,SAVEUR D'ANJOU,ARISSO D'AUNOU
LE BOSS DU CHENE,READY CASH,COMTESSE DU CHENE,QUAKER JET
DALTON,ROCKLYN,QUADRA SPORT,GOETMALS WOOD
ARENDELLE,ORLANDO VICI,,
LOVE ME DEVOL,VIGOVE,GIVE ME LOVE,QUAKER JET
IMMUN E.,KEPI VERT,CASA DU BOUFFEY,NOBLE ATOUT
CARISMA H.T.,,,
ISLA VANILLA,LET'S GO ALONG,VANILLA GIRL,ONE DU RIB
LENNON B.R.,QUAKER JET,ARIZONA GIRL,FORTUNA FANT
JAN ALKI,MARCUS,CONCORDE G,EBOUE WILKES
LUCKY DE LOU,BEAUTIFUL SOMOLLI,GIRL DE LOU,UFLAND
BAROLO,LINCOLN JET,QUEEN DES DOUETS,IPSON DE MORMAL
NÏ¿?TNES GUTTEN,GANYMEDE,GUETHARY,TAK TAK
TYSVÏ¿?R VIGGO,FRUIT ROSE,BETTYSSIA,OLIMY
KJÏ¿?LSTAD MODIN,BORGIA III,DJOUMA M,SEDDOUK
LAEKEN DE L'AUMOY,SO LOVELY GIRL,SOIREE DE BAL,LUDO DE CASTELLE
KRAK DE VITRAY,ENINO DU POMMEREUX,TRAVIATA,OFFSHORE DREAM
FERRARI SISU,DJALI BOKO,,
DEDE DELL'OLMO,IDEALE LUIS,MACHI DEL CIGNO,PICCARDO
LADAKH DE KEMP,DIABLO DU NOYER,VERDILLIA,QUALMIO DE VANDEL
LADY MAGDA,VABELLINO,TENACIA,IPSON DE MORMAL
JANI SOMOLLI,SEVERINO,DATCHA SOMOLLI,MILLENIUM WOOD
IVANHOE BAINDOR,REX HAIE NEUVE,VOLGA DE L'ISOP,ORLANDO VICI
SOLAS,FRUIT ROSE,LOREGA,QUASIPYL
FICTION,ORFEU NEGRO,ROUSSETTE,VERNET
AHIBEK,NARYCIUS,PERPETUA,APATY
DIATONIQUE,KEPI VERT,PUCE,VALMONT
KAHLUA,,,
SPEAKER,HARMOL,INES DE POMMEREUX,ATATURK L
SUPER QUEEN BS,,,
EMAH ROC,,,
ALL FOR LOVE,LUTTEUR D'OIZON,RICHEPANSE,CARLO D'ORSAY
