nom_pmu,pere,mere,bms
HIS DREAM DE CAHOT,JAG DE BELLOUET,UNICA DE CAHOT,KESACO PHEDO
JAGUAR DU LOISIR,DRAGON DES RACQUES,OMARINA DU LOISIR,PODOSIS
FALKIR BUIZARDERIE,JAM PRIDEM,TULIPE BUIZARDERIE,KASTING D'URZY
FADILA,URIEL SPEED,SLIEMA,INFANT DU BOSSIS
HOLD UP DES VENTES,VERY PLEASANT,TORNADE D'AUMONT,LIGHT UP DE VONNAS
FASCINOSO DE LOU,PRODIGIOUS,RIVIERA DE LOU,COKTAIL JET
KLUSAZ,READY CASH,END LOVE CAPTAIN,UNICLOVE
GRINGO SAVA,UGO DE NIEUL,VESTA,PRODIGIOUS
KYRIELLE VICTORY,TORINO PIERJI,TORNADE DU RIEU,FORTUNA FANT
KETTY KATE,QUAKER JET,DORANIE DU VIGNAC,TIMOKO
KEIN BOLLOW,OH JAMES,CADIX D'ARBAZ,JEANBAT DU VIVIER
KARINA DE VIETTE,LOOK DE STAR,SQUAW DU BOUFFEY,DEFI D'AUNOU
KIBO DES RANDES,TURBO JET,AUDE DES RACQUES,QUATRE JUILLET
KRISTOF D'OURVILLE,DRAGON DES RACQUES,SONATE D'OURVILLE,HERMES PERRINE
KANOLI CAKE,ERIDAN,BRISKA D'AM,QUARO
KELLE MATYSS,OAKWOOD DU CLOSET,AKANA JANOJO,KILT DE MELLERAY
KABALA QUICK,UP AND QUICK,KAROLL BRADOR,CAPRICCIO
KLAIRE DE PLAY,DROLE DE JET,AUBE D'ORTIGE,KAISER SOZE
KIVALA DE BANVILLE,OURAGAN DE CELLAND,AURORE DE CHLOEE,ISLERO DE BELLOUET
FORAIN JENILOU,VILLAGE MYSTIC,QUINOLETTE JENILOU,HOMMAGE GEDE
KANSAS DE CASTELLE,ENINO DU POMMEREUX,SALSA DE CASTELLE,GOETMALS WOOD
JAIMISSIME,BRILLANTISSIME,SHE LOVE'S ME,HELLO JO
JOB DE CORDAY,DOLLAR MACKER,QUAVIS DE CORDAY,ECHO
JAZZ BLUE,CARAT WILLIAMS,IDOLE BLUE,JET DU VIVIER
JEHAN,BIRD PARKER,BERKANE,ROLLING D'HERIPRE
