race_id,hippodrome,nb_partants,sans_cote,sans_sf,sans_driver_forme,sans_biais_hippo,sans_ecart_corde,valides_pour_place,date_verif
09082026_3_2,DIVONNE LES BAINS,7,0,4,0,0,4,3,2026-08-09T09:01:01.745079+00:00
09082026_3_4,DIVONNE LES BAINS,16,0,0,0,0,0,16,2026-08-09T10:00:45.241934+00:00
09082026_3_6,DIVONNE LES BAINS,8,0,0,0,0,0,8,2026-08-09T11:00:52.518482+00:00
09082026_3_7,DIVONNE LES BAINS,13,0,0,0,0,0,13,2026-08-09T11:36:29.441061+00:00
09082026_3_8,DIVONNE LES BAINS,16,0,3,2,0,5,11,2026-08-09T12:12:24.341180+00:00
09082026_5_4,LA GACILLY,16,0,0,0,16,16,0,2026-08-09T13:48:22.156068+00:00
09082026_6_1,MONCHENGLADBACH,6,6,0,0,0,0,0,2026-08-09T15:12:29.879638+00:00
09082026_6_2,MONCHENGLADBACH,6,6,0,0,0,0,0,2026-08-09T15:36:24.505110+00:00
09082026_6_3,MONCHENGLADBACH,10,0,0,2,0,2,2,2026-08-09T16:24:32.287155+00:00
09082026_6_4,MONCHENGLADBACH,10,0,0,9,0,9,0,2026-08-09T17:00:58.326815+00:00
09082026_6_5,MONCHENGLADBACH,10,0,7,1,0,8,0,2026-08-09T17:24:24.547667+00:00
09082026_6_6,MONCHENGLADBACH,6,0,0,2,0,2,0,2026-08-09T18:00:54.457259+00:00
10082026_2_1,ENGHIEN,10,0,0,1,0,1,9,2026-08-10T09:01:10.105540+00:00
10082026_3_1,STRAUBING,6,6,0,0,0,0,0,2026-08-10T09:01:10.105540+00:00
10082026_2_3,ENGHIEN,9,0,1,0,0,1,8,2026-08-10T10:02:48.365562+00:00
10082026_3_3,STRAUBING,7,0,0,5,0,5,0,2026-08-10T10:02:48.365562+00:00
10082026_3_5,STRAUBING,9,0,1,4,0,5,1,2026-08-10T11:01:01.028079+00:00
10082026_2_5,ENGHIEN,14,0,0,0,0,0,14,2026-08-10T11:12:24.490316+00:00
10082026_2_6,ENGHIEN,9,0,0,0,0,0,9,2026-08-10T11:48:30.562374+00:00
10082026_2_7,ENGHIEN,13,0,0,0,0,0,13,2026-08-10T12:12:24.079922+00:00
10082026_2_8,ENGHIEN,11,0,0,0,0,0,11,2026-08-10T12:48:33.360685+00:00
10082026_6_7,DIVONNE LES BAINS,13,0,0,0,0,0,13,2026-08-10T15:01:07.290821+00:00
10082026_5_1,CAGNES/MER,12,0,0,0,0,0,12,2026-08-10T16:12:24.879354+00:00
10082026_5_2,CAGNES/MER,8,0,0,0,0,0,8,2026-08-10T16:48:25.999442+00:00
10082026_5_3,CAGNES/MER,9,0,0,0,0,0,9,2026-08-10T17:24:23.086156+00:00
10082026_5_4,CAGNES/MER,8,0,0,0,0,0,8,2026-08-10T17:48:33.276261+00:00
10082026_5_5,CAGNES/MER,10,0,0,0,0,0,10,2026-08-10T18:24:33.890045+00:00
10082026_5_6,CAGNES/MER,12,0,1,0,0,1,11,2026-08-10T18:48:22.801047+00:00
10082026_5_7,CAGNES/MER,10,0,2,2,0,4,6,2026-08-10T19:12:28.629624+00:00
11082026_2_4,SAINT MALO,14,0,3,0,0,3,10,2026-08-11T11:00:58.923774+00:00
11082026_3_4,MONS (GHLIN),15,0,0,9,0,9,6,2026-08-11T11:09:14.748476+00:00
11082026_2_5,SAINT MALO,15,0,0,0,0,0,15,2026-08-11T11:24:22.923256+00:00
11082026_3_5,MONS (GHLIN),10,10,0,0,0,0,0,2026-08-11T11:36:26.686373+00:00
11082026_2_6,SAINT MALO,9,0,0,0,0,0,9,2026-08-11T12:01:04.320946+00:00
11082026_3_6,MONS (GHLIN),6,6,0,0,0,0,0,2026-08-11T12:12:32.087046+00:00
11082026_2_7,SAINT MALO,12,0,0,1,0,1,11,2026-08-11T12:36:28.291889+00:00
11082026_3_7,MONS (GHLIN),9,9,0,0,0,0,0,2026-08-11T12:48:32.604033+00:00
11082026_2_8,SAINT MALO,13,0,0,0,0,0,13,2026-08-11T13:12:25.647730+00:00
11082026_3_8,MONS (GHLIN),6,6,0,0,0,0,0,2026-08-11T13:12:25.647730+00:00
11082026_5_1,CABOURG,16,0,0,0,0,0,16,2026-08-11T16:24:25.181049+00:00
11082026_5_2,CABOURG,10,0,0,0,0,0,10,2026-08-11T17:01:16.980407+00:00
11082026_5_3,CABOURG,13,0,0,0,0,0,13,2026-08-11T17:36:26.055916+00:00
11082026_5_4,CABOURG,13,0,1,0,0,1,12,2026-08-11T18:01:00.270534+00:00
